anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
31/07/2020;2020;7;Solar Group;Santana de Parnaíba;RM São Paulo;Inauguração fábrica especializada em sistemas de fixação para o mercado de energia solar;Indústria;Fabricação de produtos de metal, exceto máquinas e equipamentos
30/07/2020;2020;7;Havan;Catanduva;RA São José do Rio Preto;Inauguração loja  de departamentos, eletrodomésticos e equipamentos de áudio e vídeo;Comércio;Comércio varejista
29/07/2020;2020;7;Burgerama;Santos;RA Santos;Reforma lanchonete  tipo hamburgeria com entretenimento eletrônico, videogames,  jogos, fliperamas, pinballs e coisas do mundo geek;Serviços;Alimentação
29/07/2020;2020;7;Solar PP;Presidente Prudente;RA Presidente Prudente;Implantação sede da empresa de instalação de sistema de geração de energia solar, fonte de energia pura, renovável e sustentável;Serviços;Serviços especializados para construção
29/07/2020;2020;7;Azul Linhas Aéreas;Barueri;RM São Paulo;Instalação Sistema de conexão wi-fi a bordo de seus aviões;Infraestrutura;Transporte aéreo
28/07/2020;2020;7;Universidade Santo Amaro - Unisa;Araçatuba;RA Araçatuba;Abertura Polo  Educacional de Araçatuba da universidade;Serviços;Educação
24/07/2020;2020;7;W Residences São Paulo;São Paulo;RM São Paulo;Construção complexo que une hotel, residências, centro de convenções e restaurantes;Serviços;Atividades imobiliárias
24/07/2020;2020;7;Unimed Bauru;Bauru;RA Bauru;Aquisição aparelho  de tomografia, o Somatom Definition Edge do Centro de Diagnóstico Unimed - CDU;Serviços;Atividades de atenção à saúde humana
24/07/2020;2020;7;Rappi;São Paulo;RM São Paulo;Desenvolvimento aplicativo uma ferramenta para os restaurantes terem seu próprio site e administrarem suas vendas;Infraestrutura;Correio e outras atividades de entrega
22/07/2020;2020;7;Amigão Supermercados;São José do Rio Preto;RA São José do Rio Preto;Instalação supermercado de mercadorias em geral, no Shopping Cidade Norte;Comércio;Comércio varejista
